,x
1,LT-HSC HLF
2,HSC HIST1H2AC
3,HSC WNT11
4,HSC CACNB2
5,HSC MYADM-CD97
6,ST-HSC PBX1
7,LMPP CDK6-FLT3
8,MPP SPINK2-CD99
9,MPP Ribo-high
10,pre-MEP
11,MEP-MKP
12,ERP
13,BMCP
14,ML-Gran
15,MultiLin-ATAC
16,pre-Gran CP
17,MDP-pDC
18,MDP-2 GPR133
19,CD14-Mono
20,LMPP PRSSI
21,LMPP LSAMP
22,CLP
23,pre-PC
24,LMPP Naive T-cell
